Dataset,Method,B1,B2,B3,B4,Meteor,Rougel,CEacc,CEpre,CErecall,CEF1
Breast,CNN-RNN,0.114,0.093,0.078,0.067,0.221,0.185,0.,0.496,0.498,0.487
Breast,TriNet,0.693,0.594,0.533,0.478,0.439,0.742,0.351,0.816,0.697,0.727
Breast,R2Gen,0.663,0.611,0.572,0.541,0.411,0.685,0.494,0.800,0.761,0.776
Breast,TF,0.699,0.653,0.619,0.590,0.437,0.757,0.461,0.827,0.671,0.702
Breast,DeltaNet,0.716,0.665,0.638,0.608,0.517,0.758,0.573,0.819,0.819,0.818
Breast,R2GenRL,0.672,0.595,0.531,0.479,0.500,0.651,0.424,0.793,0.754,0.771
Breast,Nassir,0.761,0.710,0.672,0.640,0.468,0.758,0.586,0.815,0.831,0.822
Thyroid,CNN-RNN,0.131,0.105,0.086,0.069,0.069,0.207,0.000,0.448,0.348,0.382
Thyroid,TriNet,0.645,0.510,0.421,0.345,0.409,0.678,0.268,0.845,0.769,0.803
Thyroid,R2Gen,0.578,0.532,0.492,0.457,0.369,0.664,0.404,0.810,0.768,0.779
Thyroid,TF,0.709,0.642,0.585,0.538,0.425,0.701,0.260,0.717,0.732,0.724
Thyroid,DeltaNet,0.610,0.559,0.515,0.579,0.443,0.685,0.363,0.837,0.784,0.795
Thyroid,R2GenRL,0.616,0.595,0.464,0.414,0.470,0.599,0.434,0.834,0.819,0.826
Thyroid,Nassir,0.729,0.666,0.613,0.568,0.439,0.723,0.524,0.838,0.850,0.841
Liver,CNN-RNN,0.049,0.026,0.011,0.000,0.119,0.102,0.000,0.181,0.068,0.070
Liver,TriNet,0.868,0.821,0.785,0.750,0.531,0.861,0.039,0.898,0.809,0.814
Liver,R2Gen,0.866,0.842,0.822,0.805,0.537,0.869,0.530,0.875,0.880,0.870
Liver,TF,0.855,0.832,0.815,0.800,0.524,0.873,0.444,0.749,0.785,0.765
Liver,DeltaNet,0.873,0.846,0.825,0.808,0.593,0.862,0.568,0.900,0.878,0.874
Liver,R2GenRL,0.853,0.818,0.791,0.769,0.575,0.842,0.466,0.885,0.875,0.879
Liver,Nassir,0.872,0.848,0.828,0.813,0.539,0.875,0.541,0.879,0.894,0.883
Thyroid,TF_only_alldata,0.708,0.638,0.580,0.532,0.424,0.707,0,0,0,0
Liver,TF_only_alldata,0.876,0.849,0.826,0.808,0.542,0.866,0,0,0,0
Breast,TF_only_alldata,0.734,0.676,0.631,0.595,0.453,0.731,0,0,0,0
Breast,TF_SC_alldata,0.704,0.651,0.612,0.581,0.464,0.736,0,0,0,0
Liver,TF_SC_alldata,0.888,0.860,0.839,0.822,0.554,0.871,0,0,0,0
Thyroid,TF_SC_alldata,0.711,0.649,0.597,0.552,0.431,0.720,0,0,0,0
Liver,Nassir_reproduce,0.874,0.844,0.820,0.801,0.539,0.860,0,0,0,0
Breast,Nassir_reproduce,0.738,0.680,0.636,0.601,0.449,0.734,0,0,0,0
Thyroid,Nassir_reproduce,0.718,0.649,0.592,0.543,0.429,0.705,0,0,0,0
